county_id,municipality_id,municipality_name,municipality_link
22500,22501,m. Zawidów,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22501
22500,22502,m. Zgorzelec,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22502
22500,22503,gm. Bogatynia,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22503
22500,22504,gm. Pieńsk,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22504
22500,22505,gm. Sulików,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22505
22500,22506,gm. Węgliniec,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22506
22500,22507,gm. Zgorzelec,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22507
22600,22601,m. Wojcieszów,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22601
22600,22602,m. Złotoryja,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22602
22600,22603,gm. Pielgrzymka,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22603
22600,22604,gm. Świerzawa,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22604
22600,22605,gm. Zagrodno,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22605
22600,22606,gm. Złotoryja,https://wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/gm/22606
